Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
40373;0;13;2.8;8;1.9;8.04;65;2.9
40374;0;13.8;2.4;5.9;1.5;7.36;79.75;1.066667
40375;0;11.2;5.9;0.1;1.3;8.58;85;0.766667
40376;3.8;14;8.7;0;0.5;12.3;95.75;3.7
40377;15.3;15.6;12.6;0;0.2;14.64;95;3.566667
40378;20;17.7;8.8;0;0.3;12.82;87.5;4.1
40379;20.4;16;6.7;7.7;0.9;10.02;76.5;1.266667
40380;0.9;23.9;8.6;3.4;1.5;15.86;91.75;0.166667
40381;39;17.7;10.1;0;1.1;12.08;84.75;0.6
40382;0;16.7;6.8;7.3;0.4;10.32;80;2.8
40383;0;20.1;6.7;3.4;1.3;13.32;82;0.566667
40384;4.2;22.1;13.3;1.2;0.7;16.08;87.5;1.633333
40385;5.4;15.4;7.7;7.7;1.3;10.78;73.75;2.533333
40386;0;20.3;5.1;7.8;1.3;11.22;69;1.166667
40387;0;25.1;11.3;4.7;2.4;16.4;82;0.5
40388;0;21.8;13.3;6.5;1.5;16.06;79.25;1.166667
40389;0;27.1;14.3;6.8;1.3;19.84;78;0
40390;0;22.5;13.1;0;2.7;16.84;86.25;3.566667
40391;21.6;15.3;8.5;7.9;1;10.52;73.75;0.966667
40392;0;13.5;5.6;6;1.8;7.9;78.25;1.266667
40393;0;13.4;5.3;6.5;1.4;8.08;79.25;1.8
40394;0;12.9;2.7;2.4;1.7;8.4;86.5;0.866667
40395;5.1;14.2;9.4;0.1;0;11.08;88.75;1.633333
40396;0.7;17.7;8.7;5.8;0.8;11.94;86;2.6
40397;0;16.3;7.4;0;0.8;11.38;88.5;0.166667
40398;0;13;9.8;0;0.7;11.9;91.25;0.766667
40399;0;17.5;9.4;8.6;0.6;11.4;77.25;0.933333
40400;0;18.2;6.4;8.9;1.3;10.64;72.75;2.1
40401;0;21.5;9.3;8;2.1;14.72;79.25;2.066667
40402;0;21.5;12.2;0;1.5;17.78;76.75;0.366667
40403;10.8;20.1;11.4;0.4;1.8;13.56;89.5;4.2
40404;2.7;12.3;9;1.1;1;10.28;78.25;1.433333
40405;0.2;14.6;9.6;1.1;1.4;11.2;86.75;1.266667
40406;0.2;19.9;10.5;8.3;0.6;14.44;71.75;2.733333
40407;0;23.3;9.4;8.4;2.1;15.3;72;1.233333
40408;0;24.5;8.8;8.4;2.1;15.88;72.25;0.666667
40409;0;23.8;10.8;5.8;2;17.04;73.25;0.433333
40410;0;21.4;11.6;7.1;2;14.68;61.75;1.233333
40411;0;25.9;8;7.8;2.1;16.26;75.75;0.433333
40412;0;30.3;13.3;3.7;1.8;20.52;79.25;0.833333
40413;0;33.2;14.7;7.9;2.1;23.86;52.25;1.933333
40414;0;28.7;16.9;0;4.9;20.36;78.5;1.5
40415;0;18.3;15.1;0;1.9;16.68;91.5;3.5
